iter	Passed	Remaining
0	171	171352
1	174	86935
2	176	58817
3	179	44707
4	182	36239
5	184	30592
6	187	26575
7	190	23597
8	193	21275
9	196	19436
10	199	17925
11	202	16679
12	206	15649
13	208	14705
14	211	13896
15	214	13201
16	218	12647
17	222	12122
18	225	11627
19	228	11185
20	231	10774
21	234	10402
22	236	10063
23	239	9755
24	242	9466
25	245	9183
26	246	8898
27	248	8635
28	250	8390
29	252	8159
30	254	7956
31	256	7762
32	258	7574
33	260	7400
34	262	7250
35	266	7131
36	268	6995
37	271	6875
38	274	6758
39	276	6638
40	278	6520
41	282	6439
42	284	6332
43	287	6253
44	290	6162
45	293	6095
46	295	6000
47	297	5905
48	300	5825
49	302	5754
50	305	5683
51	307	5600
52	309	5537
53	312	5466
54	313	5390
55	316	5332
56	318	5271
57	320	5209
58	323	5155
59	325	5096
60	327	5041
61	330	4999
62	333	4958
63	335	4905
64	338	4871
65	341	4831
66	343	4781
67	345	4730
68	348	4699
69	351	4666
70	353	4630
71	356	4592
72	358	4558
73	361	4521
74	364	4491
75	366	4460
76	369	4426
77	371	4396
78	374	4364
79	377	4338
80	379	4300
81	380	4263
82	382	4230
83	384	4195
84	386	4155
85	388	4125
86	390	4094
87	392	4071
88	394	4038
89	396	4007
90	398	3982
91	400	3956
92	403	3930
93	406	3914
94	408	3891
95	411	3872
96	413	3846
97	415	3819
98	416	3792
99	418	3765
100	420	3742
101	421	3713
102	424	3694
103	426	3673
104	428	3650
105	430	3627
106	431	3604
107	433	3583
108	435	3563
109	437	3542
110	439	3523
111	441	3502
112	443	3481
113	445	3459
114	446	3438
115	448	3414
116	450	3397
117	452	3380
118	453	3359
119	455	3338
120	456	3318
121	458	3299
122	459	3275
123	460	3256
124	462	3239
125	464	3223
126	466	3207
127	468	3190
128	470	3173
129	471	3157
130	473	3143
131	475	3127
132	477	3110
133	478	3094
134	480	3080
135	482	3068
136	484	3052
137	486	3037
138	487	3022
139	489	3008
140	491	2994
141	493	2979
142	495	2967
143	497	2958
144	499	2946
145	501	2932
146	502	2918
147	504	2905
148	506	2891
149	507	2878
150	509	2863
151	511	2852
152	513	2842
153	515	2830
154	517	2818
155	518	2806
156	520	2795
157	522	2783
158	523	2771
159	526	2761
160	528	2752
161	529	2740
162	531	2730
163	533	2720
164	535	2711
165	537	2700
166	539	2689
167	540	2679
168	542	2669
169	544	2658
170	546	2648
171	547	2637
172	549	2627
173	551	2616
174	552	2605
175	554	2596
176	557	2590
177	559	2582
178	562	2578
179	564	2571
180	565	2558
181	567	2548
182	568	2537
183	570	2527
184	572	2520
185	573	2511
186	576	2504
187	577	2495
188	579	2487
189	581	2477
190	582	2468
191	584	2459
192	586	2452
193	588	2444
194	589	2435
195	591	2427
196	593	2420
197	595	2411
198	597	2404
199	598	2395
200	600	2387
201	602	2379
202	604	2372
203	605	2363
204	607	2354
205	608	2345
206	609	2336
207	611	2327
208	612	2318
209	614	2310
210	615	2302
211	617	2294
212	618	2285
213	620	2278
214	621	2270
215	623	2261
216	624	2254
217	626	2246
218	627	2238
219	629	2230
220	630	2224
221	632	2217
222	634	2209
223	635	2202
224	637	2195
225	639	2188
226	640	2182
227	642	2175
228	644	2168
229	646	2163
230	648	2157
231	649	2151
232	651	2144
233	653	2138
234	654	2131
235	656	2124
236	657	2117
237	659	2110
238	660	2104
239	662	2096
240	663	2089
241	665	2082
242	666	2076
243	667	2069
244	669	2063
245	671	2057
246	672	2050
247	673	2043
248	675	2037
249	677	2031
250	678	2024
251	680	2018
252	681	2012
253	682	2005
254	684	1999
255	685	1993
256	687	1987
257	689	1981
258	690	1976
259	692	1970
260	693	1964
261	695	1958
262	696	1952
263	698	1947
264	699	1941
265	701	1935
266	702	1929
267	704	1923
268	705	1917
269	707	1911
270	708	1905
271	709	1899
272	711	1893
273	712	1888
274	713	1882
275	715	1876
276	716	1870
277	718	1865
278	719	1859
279	721	1854
280	722	1849
281	724	1843
282	725	1838
283	727	1833
284	728	1828
285	730	1823
286	731	1817
287	733	1812
288	734	1807
289	736	1802
290	737	1797
291	739	1791
292	740	1786
293	742	1781
294	743	1776
295	745	1772
296	746	1767
297	748	1762
298	749	1757
299	750	1752
300	752	1747
301	753	1742
302	755	1737
303	756	1732
304	758	1727
305	759	1723
306	761	1718
307	762	1713
308	763	1708
309	765	1703
310	766	1698
311	768	1695
312	770	1690
313	771	1685
314	773	1681
315	774	1676
316	776	1672
317	777	1668
318	779	1663
319	780	1659
320	782	1654
321	783	1650
322	785	1645
323	786	1640
324	787	1636
325	789	1631
326	790	1627
327	792	1623
328	793	1618
329	794	1613
330	796	1609
331	797	1604
332	799	1600
333	800	1596
334	802	1592
335	803	1588
336	805	1584
337	806	1579
338	808	1575
339	809	1571
340	810	1567
341	812	1562
342	813	1558
343	815	1554
344	816	1550
345	817	1545
346	819	1541
347	820	1536
348	821	1532
349	823	1528
350	824	1523
351	825	1519
352	826	1515
353	828	1511
354	829	1507
355	831	1504
356	833	1500
357	834	1497
358	836	1493
359	838	1490
360	839	1486
361	841	1482
362	842	1478
363	844	1474
364	845	1471
365	846	1466
366	848	1462
367	849	1459
368	850	1455
369	852	1451
370	853	1447
371	854	1443
372	856	1439
373	857	1435
374	858	1431
375	860	1427
376	861	1423
377	863	1420
378	864	1416
379	865	1412
380	867	1408
381	868	1405
382	869	1401
383	871	1397
384	872	1394
385	874	1390
386	875	1386
387	877	1383
388	878	1380
389	880	1376
390	881	1373
391	883	1369
392	884	1366
393	886	1363
394	887	1359
395	889	1356
396	890	1352
397	891	1348
398	893	1345
399	894	1341
400	896	1338
401	897	1334
402	898	1331
403	900	1328
404	901	1324
405	902	1321
406	904	1317
407	905	1314
408	907	1311
409	908	1307
410	909	1303
411	911	1300
412	912	1297
413	913	1293
414	915	1290
415	916	1287
416	918	1283
417	919	1280
418	921	1277
419	922	1274
420	924	1270
421	925	1267
422	926	1264
423	928	1260
424	929	1257
425	931	1254
426	932	1251
427	935	1249
428	939	1250
429	942	1249
430	945	1248
431	948	1246
432	951	1245
433	954	1244
434	957	1243
435	958	1240
436	960	1236
437	961	1233
438	963	1230
439	964	1228
440	966	1225
441	967	1221
442	969	1218
443	970	1215
444	972	1212
445	974	1210
446	976	1207
447	977	1204
448	978	1201
449	980	1198
450	981	1194
451	983	1191
452	984	1188
453	986	1185
454	987	1183
455	989	1180
456	990	1177
457	992	1174
458	993	1171
459	995	1168
460	996	1165
461	998	1162
462	1000	1159
463	1001	1157
464	1003	1154
465	1004	1151
466	1006	1148
467	1008	1146
468	1010	1143
469	1011	1141
470	1013	1138
471	1015	1135
472	1016	1132
473	1018	1129
474	1019	1126
475	1021	1123
476	1022	1121
477	1024	1118
478	1025	1115
479	1027	1112
480	1029	1110
481	1030	1107
482	1032	1104
483	1033	1102
484	1035	1099
485	1036	1096
486	1037	1093
487	1039	1090
488	1040	1087
489	1042	1085
490	1043	1082
491	1045	1079
492	1047	1076
493	1048	1074
494	1050	1071
495	1051	1068
496	1053	1066
497	1055	1063
498	1056	1060
499	1058	1058
500	1059	1055
501	1061	1052
502	1062	1050
503	1064	1047
504	1066	1044
505	1067	1042
506	1069	1039
507	1070	1036
508	1072	1034
509	1073	1031
510	1074	1028
511	1076	1025
512	1077	1023
513	1078	1020
514	1080	1017
515	1081	1014
516	1083	1012
517	1084	1009
518	1086	1006
519	1087	1003
520	1088	1001
521	1090	998
522	1091	995
523	1092	992
524	1094	989
525	1095	987
526	1097	984
527	1098	982
528	1100	979
529	1101	976
530	1102	974
531	1104	971
532	1105	968
533	1106	966
534	1108	963
535	1109	960
536	1111	958
537	1112	955
538	1114	953
539	1115	950
540	1116	947
541	1118	944
542	1119	942
543	1121	939
544	1122	937
545	1123	934
546	1125	931
547	1126	929
548	1128	926
549	1129	924
550	1130	921
551	1132	918
552	1133	916
553	1134	913
554	1136	911
555	1137	908
556	1138	905
557	1140	903
558	1141	900
559	1142	897
560	1144	895
561	1145	892
562	1147	890
563	1148	887
564	1149	885
565	1151	882
566	1152	880
567	1153	877
568	1155	875
569	1156	872
570	1158	870
571	1159	867
572	1160	865
573	1162	862
574	1163	860
575	1164	857
576	1166	855
577	1167	852
578	1169	850
579	1170	847
580	1172	845
581	1173	842
582	1175	840
583	1176	838
584	1177	835
585	1179	833
586	1180	830
587	1182	828
588	1183	825
589	1184	823
590	1186	820
591	1187	818
592	1188	815
593	1190	813
594	1191	811
595	1192	808
596	1194	806
597	1195	803
598	1197	801
599	1198	799
600	1199	796
601	1201	794
602	1202	791
603	1203	789
604	1205	786
605	1206	784
606	1208	782
607	1209	779
608	1210	777
609	1212	774
610	1213	772
611	1214	770
612	1215	767
613	1217	765
614	1218	762
615	1220	760
616	1221	758
617	1222	755
618	1224	753
619	1226	751
620	1227	749
621	1229	747
622	1230	744
623	1231	742
624	1233	739
625	1234	737
626	1235	735
627	1237	732
628	1238	730
629	1240	728
630	1241	726
631	1242	723
632	1244	721
633	1245	719
634	1247	716
635	1248	714
636	1250	712
637	1251	710
638	1253	707
639	1254	705
640	1256	703
641	1257	701
642	1258	698
643	1259	696
644	1261	694
645	1262	691
646	1263	689
647	1265	687
648	1266	684
649	1267	682
650	1269	680
651	1270	678
652	1271	675
653	1273	673
654	1274	671
655	1275	669
656	1277	666
657	1278	664
658	1280	662
659	1281	660
660	1283	658
661	1284	655
662	1285	653
663	1287	651
664	1288	649
665	1289	646
666	1291	644
667	1292	642
668	1294	640
669	1295	638
670	1297	636
671	1298	633
672	1300	631
673	1301	629
674	1302	627
675	1304	625
676	1305	622
677	1307	620
678	1308	618
679	1309	616
680	1311	614
681	1312	612
682	1313	609
683	1315	607
684	1316	605
685	1317	603
